left_hand,mark_left,mark_right,right_hand
326.886413574,355.929831376,366.636668297,339.290924072
339.887359619,356.372663456,367.499567833,322.949188232
345.490249634,356.791740176,368.360662106,310.486099243
349.935455322,357.187343013,369.219630016,299.601455688
354.132598877,357.559747503,370.076162294,289.053573608
357.764328003,357.909223112,370.929961271,279.247283936
360.18927002,358.236033137,371.780740635,270.582901001
364.185043335,358.540434614,372.628225192,258.352798462
365.952758789,358.82267825,373.472150611,247.62651062
367.175140381,359.083008366,374.31226318,237.217681885
368.641586304,359.321662858,375.148319548,227.719421387
369.035949707,359.538873172,375.980086472,219.441833496
368.818313599,359.734864284,376.807340562,212.088562012
368.613555908,359.909854704,377.629868022,203.546203613
368.783050537,360.064056476,378.447464399,200.057556152
368.83052063,360.197675204,379.25993432,195.507354736
368.499298096,360.310910073,380.067091246,191.471496582
366.696868896,360.403953886,380.868757213,188.092041016
362.28604126,360.476993107,381.664762582,184.148956299
354.629379272,360.53020791,382.454945791,181.522399902
345.618438721,360.56377224,383.239153107,177.347045898
338.27192688,360.577853866,384.017238384,174.419525146
333.756866455,360.572614459,384.78906282,169.956512451
328.584259033,360.54820966,385.554494718,166.68560791
324.251037598,360.504789155,386.313409254,163.773468018
319.707199097,360.442496763,387.065688245,161.305633545
317.353271484,360.361470516,387.811219919,159.382385254
316.186920166,360.261842749,388.549898695,158.654022217
315.937026978,360.143740193,389.281624959,157.787994385
308.802459717,360.007284067,390.006304851,157.57321167
307.863693237,359.852590178,390.723850052,157.829956055
306.936737061,359.679769019,391.434177575,160.787719727
305.64982605,359.488925871,392.137209562,164.88104248
304.431335449,359.280160907,392.832873084,171.568115234
304.562316895,359.053569293,393.521099945,177.349578857
302.375869751,358.809241304,394.20182649,183.137481689
301.141723633,358.54726242,394.87499342,190.447753906
299.814727783,358.267713446,395.540545606,195.891082764
295.449172974,357.970670619,396.198431909,199.449432373
291.542404175,357.656205717,396.84860501,202.905731201
289.869232178,357.324386177,397.491021231,205.772827148
287.287948608,356.975275207,398.125640377,210.671875
283.725128174,356.608931898,398.752425565,214.327636719
280.524154663,356.225411345,399.371343068,219.761779785
276.693450928,355.824764762,399.982362161,232.14755249
275.331893921,355.407039598,400.585454966,244.877532959
275.917922974,354.972279656,401.180596307,264.471252441
276.044998169,354.520525216,401.767763561,284.665039062
276.19480896,354.051813152,402.346936525,302.486618042
276.678009033,353.566177052,402.918097271,321.443862915
273.185119629,353.063647347,403.481230014,333.837478638
267.89352417,352.544251428,404.036320986,338.916427612
266.431015015,352.008013773,404.583358302,340.462142944
275.428359985,351.454956072,405.12233184,340.407623291
292.234024048,350.885097355,405.653233118,339.548538208
307.099105835,350.298454121,406.176055177,338.810409546
317.399383545,349.695040464,406.690792465,338.66394043
319.048965454,349.074868206,407.197440725,339.120727539
313.43006897,348.43794703,407.695996885,340.491607666
306.045333862,347.784284614,408.186458952,342.687957764
299.969421387,347.113886766,408.668825906,345.18309021
298.13218689,346.42675756,409.143097599,347.704147339
296.531097412,345.722899478,409.609274657,349.742828369
294.772796631,345.00231355,410.06735838,351.432113647
295.113296509,344.264999501,410.51735065,353.971084595
296.186355591,343.510955888,410.959253834,357.296401978
295.67930603,342.740180259,411.3930707,360.75604248
292.641769409,341.952669297,411.818804322,362.636276245
288.507278442,341.148418972,412.236457998,365.29750061
287.169662476,340.327424705,412.646035162,366.672698975
286.625488281,339.489681518,413.047539304,368.088424683
285.803482056,338.6351842,413.440973885,368.626235962
285.409988403,337.763927473,413.826342263,369.114303589
285.277923584,336.875906158,414.203647607,369.664749146
285.466537476,335.971115349,414.57289283,370.170013428
285.509658813,335.049550586,414.934080505,370.395462036
287.431045532,334.111208038,415.287212798,370.081207275
288.593109131,333.156084682,415.632291391,368.504074097
292.843109131,332.184178493,415.969317415,366.453964233
295.583709717,331.195488633,416.298291376,365.081085205
298.311691284,330.190015651,416.619213089,363.990402222
300.194381714,329.16776168,416.932081609,363.111724854
301.854232788,328.128730642,417.236895164,361.992553711
303.663146973,327.072928461,417.533651091,360.743164062
304.484802246,326.000363275,417.822345769,359.92489624
305.731124878,324.911045658,418.102974556,359.123672485
306.417877197,323.804988845,418.375531726,358.081970215
306.819976807,322.682208967,418.640010405,357.139144897
308.052246094,321.54272528,418.896402512,355.563446045
307.951782227,320.386560417,419.144698696,354.749526978
307.562133789,319.213740631,419.384888276,353.928009033
307.785324097,318.024296054,419.616959182,353.698196411
311.85975647,316.818260954,419.840897895,353.59312439
312.916000366,315.59567401,420.056689387,353.443023682
313.376342773,314.356578583,420.264317067,352.192443848
314.684234619,313.101022997,420.46376272,350.818649292
315.990524292,311.829060831,420.655006451,349.783065796
317.690628052,310.540751214,420.838026628,348.535491943
319.483963013,309.236159127,421.012799827,347.567230225
320.612762451,307.915355718,421.179300776,345.853759766
321.513717651,306.578418617,421.337502298,343.187561035
322.933135986,305.225432265,421.487375261,341.599395752
326.620239258,303.856488247,421.628888517,340.347564697
328.324356079,302.471685635,421.762008855,339.25151062
329.561523438,301.071131339,421.886700943,337.504577637
330.19631958,299.654940464,422.002927279,336.354812622
330.810455322,298.22323668,422.110648136,334.683761597
331.157806396,296.776152594,422.209821513,333.542160034
